Date,Open,High,Low,Close,Volume,Adj Close,Var,Lag1,Lag2,Lag3,Lag4,Numeric_date
23/10/2012,0.905,0.91,0.855,0.874,1690200,0.874,-0.025641026,0.021640091,-0.00678733,0.044917258,0.002369668,41205
24/10/2012,0.88,0.895,0.871,0.886,1226700,0.886,0.013729977,-0.025641026,0.021640091,-0.00678733,0.044917258,41206
25/10/2012,0.9,0.907,0.881,0.881,1869600,0.881,-0.005643341,0.013729977,-0.025641026,0.021640091,-0.00678733,41207
26/10/2012,0.876,0.878,0.86,0.87,1302900,0.87,-0.012485812,-0.005643341,0.013729977,-0.025641026,0.021640091,41208
29/10/2012,0.87,0.87,0.845,0.853,739000,0.853,-0.01954023,-0.012485812,-0.005643341,0.013729977,-0.025641026,41211
30/10/2012,0.865,0.875,0.859,0.864,390700,0.864,0.012895662,-0.01954023,-0.012485812,-0.005643341,0.013729977,41212
31/10/2012,0.862,0.871,0.85,0.86,239700,0.86,-0.00462963,0.012895662,-0.01954023,-0.012485812,-0.005643341,41213
01/11/2012,0.863,0.868,0.845,0.867,246600,0.867,0.008139535,-0.00462963,0.012895662,-0.01954023,-0.012485812,41214
02/11/2012,0.867,0.879,0.863,0.863,889900,0.863,-0.00461361,0.008139535,-0.00462963,0.012895662,-0.01954023,41215
05/11/2012,0.86,0.869,0.85,0.853,556400,0.853,-0.011587486,-0.00461361,0.008139535,-0.00462963,0.012895662,41218
06/11/2012,0.855,0.863,0.828,0.831,1336000,0.831,-0.025791325,-0.011587486,-0.00461361,0.008139535,-0.00462963,41219
07/11/2012,0.84,0.846,0.81,0.817,977500,0.817,-0.016847172,-0.025791325,-0.011587486,-0.00461361,0.008139535,41220
08/11/2012,0.81,0.866,0.81,0.856,1540300,0.856,0.047735618,-0.016847172,-0.025791325,-0.011587486,-0.00461361,41221
09/11/2012,0.85,0.85,0.825,0.834,1263600,0.834,-0.025700935,0.047735618,-0.016847172,-0.025791325,-0.011587486,41222
12/11/2012,0.838,0.839,0.822,0.829,918900,0.829,-0.005995204,-0.025700935,0.047735618,-0.016847172,-0.025791325,41225
13/11/2012,0.822,0.828,0.813,0.82,825300,0.82,-0.010856454,-0.005995204,-0.025700935,0.047735618,-0.016847172,41226
14/11/2012,0.818,0.827,0.811,0.813,836200,0.813,-0.008536585,-0.010856454,-0.005995204,-0.025700935,0.047735618,41227
15/11/2012,0.81,0.812,0.791,0.795,1066900,0.795,-0.022140221,-0.008536585,-0.010856454,-0.005995204,-0.025700935,41228
16/11/2012,0.772,0.79,0.752,0.776,2465500,0.776,-0.023899371,-0.022140221,-0.008536585,-0.010856454,-0.005995204,41229
19/11/2012,0.779,0.81,0.779,0.807,669800,0.807,0.039948454,-0.023899371,-0.022140221,-0.008536585,-0.010856454,41232
20/11/2012,0.792,0.809,0.79,0.801,486600,0.801,-0.007434944,0.039948454,-0.023899371,-0.022140221,-0.008536585,41233
21/11/2012,0.8,0.823,0.78,0.817,961100,0.817,0.019975031,-0.007434944,0.039948454,-0.023899371,-0.022140221,41234
22/11/2012,0.813,0.829,0.81,0.81,423400,0.81,-0.008567931,0.019975031,-0.007434944,0.039948454,-0.023899371,41235
23/11/2012,0.806,0.826,0.797,0.817,345100,0.817,0.008641975,-0.008567931,0.019975031,-0.007434944,0.039948454,41236
26/11/2012,0.82,0.823,0.81,0.813,436000,0.813,-0.004895961,0.008641975,-0.008567931,0.019975031,-0.007434944,41239
27/11/2012,0.816,0.825,0.802,0.802,823500,0.802,-0.013530135,-0.004895961,0.008641975,-0.008567931,0.019975031,41240
28/11/2012,0.804,0.808,0.788,0.8,607200,0.8,-0.002493766,-0.013530135,-0.004895961,0.008641975,-0.008567931,41241
29/11/2012,0.82,0.82,0.794,0.801,869400,0.801,0.00125,-0.002493766,-0.013530135,-0.004895961,0.008641975,41242
30/11/2012,0.808,0.811,0.796,0.808,376200,0.808,0.008739076,0.00125,-0.002493766,-0.013530135,-0.004895961,41243
